Date;Rain (m)
01/01/1985;0.204
02/01/1985;0.13
03/01/1985;0.052
04/01/1985;0.013
05/01/1985;0.005
06/01/1985;0.001
07/01/1985;0.001
08/01/1985;0
09/01/1985;0.004
10/01/1985;0.032
11/01/1985;0.029
12/01/1985;0.159
01/01/1986;0.147
02/01/1986;0.09
03/01/1986;0.06
04/01/1986;0.127
05/01/1986;0.001
06/01/1986;0
07/01/1986;0
08/01/1986;0
09/01/1986;0.004
10/01/1986;0.071
11/01/1986;0.073
12/01/1986;0.096
01/01/1987;0.093
02/01/1987;0.063
03/01/1987;0.048
04/01/1987;0.001
05/01/1987;0.001
06/01/1987;0
07/01/1987;0
08/01/1987;0
09/01/1987;0.002
10/01/1987;0.015
11/01/1987;0.051
12/01/1987;0.192
01/01/1988;0.088
02/01/1988;0.204
03/01/1988;0.116
04/01/1988;0.041
05/01/1988;0.001
06/01/1988;0.006
07/01/1988;0.001
08/01/1988;0
09/01/1988;0.001
10/01/1988;0.042
11/01/1988;0.036
12/01/1988;0.124
01/01/1989;0.157
02/01/1989;0.234
03/01/1989;0.043
04/01/1989;0.035
05/01/1989;0.001
06/01/1989;0.002
07/01/1989;0
08/01/1989;0
09/01/1989;0
10/01/1989;0.031
11/01/1989;0.078
12/01/1989;0.063
01/01/1990;0.174
02/01/1990;0.094
03/01/1990;0.052
04/01/1990;0.046
05/01/1990;0.002
06/01/1990;0
07/01/1990;0
08/01/1990;0
09/01/1990;0
10/01/1990;0.01
11/01/1990;0.046
12/01/1990;0.076
01/01/1991;0.155
02/01/1991;0.138
03/01/1991;0.095
04/01/1991;0.001
05/01/1991;0
06/01/1991;0.001
07/01/1991;0
08/01/1991;0
09/01/1991;0.002
10/01/1991;0.027
11/01/1991;0.066
12/01/1991;0.214
01/01/1992;0.097
02/01/1992;0.015
03/01/1992;0.093
04/01/1992;0.009
05/01/1992;0.001
06/01/1992;0
07/01/1992;0
08/01/1992;0
09/01/1992;0
10/01/1992;0.024
11/01/1992;0.065
12/01/1992;0.155
01/01/1993;0.151
02/01/1993;0.208
03/01/1993;0.065
04/01/1993;0.021
05/01/1993;0.002
06/01/1993;0.001
07/01/1993;0.004
08/01/1993;0.001
09/01/1993;0.02
10/01/1993;0.01
11/01/1993;0.154
12/01/1993;0.121
01/01/1994;0.185
02/01/1994;0.133
03/01/1994;0.003
04/01/1994;0
05/01/1994;0.001
06/01/1994;0
07/01/1994;0
08/01/1994;0
09/01/1994;0
10/01/1994;0.043
11/01/1994;0.047
12/01/1994;0.103
01/01/1995;0.073
02/01/1995;0.078
03/01/1995;0.043
04/01/1995;0.006
05/01/1995;0.024
06/01/1995;0.001
07/01/1995;0
08/01/1995;0
09/01/1995;0.001
10/01/1995;0.02
11/01/1995;0.065
12/01/1995;0.141
01/01/1996;0.217
02/01/1996;0.167
03/01/1996;0.059
04/01/1996;0.005
05/01/1996;0.027
06/01/1996;0
07/01/1996;0.001
08/01/1996;0
09/01/1996;0.001
10/01/1996;0.005
11/01/1996;0.12
12/01/1996;0.12
01/01/1997;0.281
02/01/1997;0.099
03/01/1997;0.114
04/01/1997;0.019
05/01/1997;0.002
06/01/1997;0.001
07/01/1997;0.001
08/01/1997;0
09/01/1997;0.021
10/01/1997;0.02
11/01/1997;0.06
12/01/1997;0.066
01/01/1998;0.278
02/01/1998;0.052
03/01/1998;0.045
04/01/1998;0.005
05/01/1998;0
06/01/1998;0
07/01/1998;0
08/01/1998;0
09/01/1998;0.001
10/01/1998;0.004
11/01/1998;0.088
12/01/1998;0.199
01/01/1999;0.16
02/01/1999;0.138
03/01/1999;0.057
04/01/1999;0.001
05/01/1999;0
06/01/1999;0
07/01/1999;0.001
08/01/1999;0.002
09/01/1999;0.005
10/01/1999;0.012
11/01/1999;0.086
12/01/1999;0.114
01/01/2000;0.293
02/01/2000;0.244
03/01/2000;0.097
04/01/2000;0.026
05/01/2000;0.014
06/01/2000;0.022
07/01/2000;0.001
08/01/2000;0
09/01/2000;0.004
10/01/2000;0.017
11/01/2000;0.075
12/01/2000;0.117
01/01/2001;0.03
02/01/2001;0.242
03/01/2001;0.143
04/01/2001;0.038
05/01/2001;0.003
06/01/2001;0.001
07/01/2001;0.001
08/01/2001;0.001
09/01/2001;0.008
10/01/2001;0.015
11/01/2001;0.12
12/01/2001;0.109
01/01/2002;0.087
02/01/2002;0.054
03/01/2002;0.019
04/01/2002;0.054
05/01/2002;0
06/01/2002;0.004
07/01/2002;0.001
08/01/2002;0.001
09/01/2002;0.006
10/01/2002;0.028
11/01/2002;0.034
12/01/2002;0.11
01/01/2003;0.08
02/01/2003;0.106
03/01/2003;0.056
04/01/2003;0.013
05/01/2003;0.001
06/01/2003;0.005
07/01/2003;0
08/01/2003;0
09/01/2003;0.002
10/01/2003;0.032
11/01/2003;0.063
12/01/2003;0.134
01/01/2004;0.161
02/01/2004;0.16
03/01/2004;0.183
04/01/2004;0.017
05/01/2004;0
06/01/2004;0.001
07/01/2004;0
08/01/2004;0
09/01/2004;0.001
10/01/2004;0.011
11/01/2004;0.031
12/01/2004;0.177
01/01/2005;0.119
02/01/2005;0.036
03/01/2005;0.06
04/01/2005;0.021
05/01/2005;0.001
06/01/2005;0
07/01/2005;0.001
08/01/2005;0
09/01/2005;0.001
10/01/2005;0.001
11/01/2005;0.096
12/01/2005;0.23
01/01/2006;0.279
02/01/2006;0.208
03/01/2006;0.092
04/01/2006;0.021
05/01/2006;0.001
06/01/2006;0.001
07/01/2006;0
08/01/2006;0
09/01/2006;0
10/01/2006;0.017
11/01/2006;0.082
12/01/2006;0.095
01/01/2007;0.093
02/01/2007;0.05
03/01/2007;0.044
04/01/2007;0.036
05/01/2007;0
06/01/2007;0.007
07/01/2007;0.001
08/01/2007;0
09/01/2007;0.002
10/01/2007;0.014
11/01/2007;0.072
12/01/2007;0.328
01/01/2008;0.371
02/01/2008;0.035
03/01/2008;0.053
04/01/2008;0.004
05/01/2008;0.006
06/01/2008;0
07/01/2008;0
08/01/2008;0
09/01/2008;0
10/01/2008;0.002
11/01/2008;0.129
12/01/2008;0.259
01/01/2009;0.196
02/01/2009;0.103
03/01/2009;0.119
04/01/2009;0.002
05/01/2009;0.008
06/01/2009;0.028
07/01/2009;0
08/01/2009;0
09/01/2009;0.01
10/01/2009;0.016
11/01/2009;0.104
12/01/2009;0.129
01/01/2010;0.162
02/01/2010;0.143
03/01/2010;0.11
04/01/2010;0.063
05/01/2010;0.003
06/01/2010;0.001
07/01/2010;0.001
08/01/2010;0
09/01/2010;0
10/01/2010;0.007
11/01/2010;0.093
12/01/2010;0.129
01/01/2011;0.22
02/01/2011;0.058
03/01/2011;0.09
04/01/2011;0.032
05/01/2011;0.004
06/01/2011;0
07/01/2011;0.002
08/01/2011;0
09/01/2011;0
10/01/2011;0.01
11/01/2011;0.084
12/01/2011;0.155
01/01/2012;0.162
02/01/2012;0.138
03/01/2012;0.072
04/01/2012;0.005
05/01/2012;0
06/01/2012;0
07/01/2012;0
08/01/2012;0
09/01/2012;0
10/01/2012;0.019
11/01/2012;0.045
12/01/2012;0.16
01/01/2013;0.293
02/01/2013;0.112
03/01/2013;0.021
04/01/2013;0.004
05/01/2013;0.002
06/01/2013;0
07/01/2013;0
08/01/2013;0
09/01/2013;0.003
10/01/2013;0.011
11/01/2013;0.066
12/01/2013;0.243
01/01/2014;0.261
02/01/2014;0.176
03/01/2014;0.121
04/01/2014;0.034
05/01/2014;0.001
06/01/2014;0
07/01/2014;0
08/01/2014;0
09/01/2014;0.002
10/01/2014;0.007
11/01/2014;0.041
12/01/2014;0.272
01/01/2015;0.107
02/01/2015;0.046
03/01/2015;0.099
04/01/2015;0.083
05/01/2015;0
06/01/2015;0
07/01/2015;0
08/01/2015;0
09/01/2015;0.002
10/01/2015;0.006
11/01/2015;0.04
12/01/2015;0.074
01/01/2016;0.115
02/01/2016;0.153
03/01/2016;0.143
04/01/2016;0.025
05/01/2016;0.003
06/01/2016;0
07/01/2016;0
08/01/2016;0
09/01/2016;0
10/01/2016;0.005
11/01/2016;0.054
12/01/2016;0.16
01/01/2017;0.362
02/01/2017;0.242
03/01/2017;0.085
04/01/2017;0.045
05/01/2017;0.002
06/01/2017;0.001
07/01/2017;0.001
08/01/2017;0.001
09/01/2017;0.003
10/01/2017;0.028
11/01/2017;0.083
12/01/2017;0.13
01/01/2018;0.065
02/01/2018;0.337
03/01/2018;0.13
04/01/2018;0.019
05/01/2018;0.002
06/01/2018;0
07/01/2018;0.006
08/01/2018;0
09/01/2018;0.001
10/01/2018;0.002
11/01/2018;0.038
12/01/2018;0.085
01/01/2019;0.133
02/01/2019;0.171
03/01/2019;0.002
04/01/2019;0.044
05/01/2019;0
06/01/2019;0
07/01/2019;0
08/01/2019;0
09/01/2019;0.001
10/01/2019;0.006
11/01/2019;0.075
12/01/2019;0.072
01/01/2020;0.122
02/01/2020;0.128
03/01/2020;0.078
04/01/2020;0.005
05/01/2020;0
06/01/2020;0
