Date;Temperature (K)
1/1/85;296.505
2/1/85;295.992
3/1/85;296.887
4/1/85;294.93
5/1/85;291.951
6/1/85;289.012
7/1/85;289.22
8/1/85;291.97
9/1/85;296.138
10/1/85;298.604
11/1/85;298.885
12/1/85;296.833
1/1/86;296.718
2/1/86;296.55
3/1/86;296.511
4/1/86;294.078
5/1/86;291.313
6/1/86;288.717
7/1/86;289.142
8/1/86;292.654
9/1/86;296.115
10/1/86;297.279
11/1/86;297.649
12/1/86;297.354
1/1/87;298.222
2/1/87;298.903
3/1/87;298.63
4/1/87;297.784
5/1/87;294.651
6/1/87;289.557
7/1/87;289.04
8/1/87;292.994
9/1/87;297.777
10/1/87;298.563
11/1/87;300.353
12/1/87;297.051
1/1/88;298.42
2/1/88;296.682
3/1/88;296.406
4/1/88;295.807
5/1/88;292.043
6/1/88;289.616
7/1/88;289.165
8/1/88;292.246
9/1/88;296.264
10/1/88;298.741
11/1/88;298.349
12/1/88;296.742
1/1/89;296.45
2/1/89;295.256
3/1/89;296.233
4/1/89;294.329
5/1/89;292.295
6/1/89;290.257
7/1/89;289.174
8/1/89;292.957
9/1/89;296.086
10/1/89;297.652
11/1/89;298.097
12/1/89;298.664
1/1/90;296.547
2/1/90;296.69
3/1/90;297.34
4/1/90;295.657
5/1/90;293.02
6/1/90;291.413
7/1/90;291.138
8/1/90;292.371
9/1/90;295.795
10/1/90;299.796
11/1/90;300.003
12/1/90;298.477
1/1/91;296.698
2/1/91;297.144
3/1/91;296.756
4/1/91;294.2
5/1/91;292.363
6/1/91;290.045
7/1/91;289.306
8/1/91;292.738
9/1/91;297.674
10/1/91;298.802
11/1/91;297.94
12/1/91;297.042
1/1/92;298.19
2/1/92;300.351
3/1/92;297.915
4/1/92;296.13
5/1/92;292.983
6/1/92;290.222
7/1/92;289.52
8/1/92;291.898
9/1/92;297.851
10/1/92;300.204
11/1/92;298.272
12/1/92;297.588
1/1/93;296.563
2/1/93;296.238
3/1/93;295.89
4/1/93;295.917
5/1/93;294.456
