system:index;imageId;month;year
1_1_LT05_172073_19860407;1_1_LT05_172073_19860407;4;1986
1_1_LT05_172073_19860525;1_1_LT05_172073_19860525;5;1986
1_1_LT05_172073_19861117;1_1_LT05_172073_19861117;11;1986
1_1_LT05_172073_19861203;1_1_LT05_172073_19861203;12;1986
1_1_LT05_172073_19861219;1_1_LT05_172073_19861219;12;1986
1_1_LT05_172073_19870104;1_1_LT05_172073_19870104;1;1987
1_1_LT05_172073_19870221;1_1_LT05_172073_19870221;2;1987
1_1_LT05_172073_19890618;1_1_LT05_172073_19890618;6;1989
1_1_LT05_172073_19890720;1_1_LT05_172073_19890720;7;1989
1_1_LT05_172073_19890821;1_1_LT05_172073_19890821;8;1989
1_1_LT05_172073_19890922;1_1_LT05_172073_19890922;9;1989
1_1_LT05_172073_19891125;1_1_LT05_172073_19891125;11;1989
1_1_LT05_172073_19891211;1_1_LT05_172073_19891211;12;1989
1_1_LT05_172073_19900301;1_1_LT05_172073_19900301;3;1990
1_1_LT05_172073_19900317;1_1_LT05_172073_19900317;3;1990
1_1_LT05_172073_19900402;1_1_LT05_172073_19900402;4;1990
1_1_LT05_172073_19900418;1_1_LT05_172073_19900418;4;1990
1_1_LT05_172073_19900504;1_1_LT05_172073_19900504;5;1990
1_1_LT05_172073_19900605;1_1_LT05_172073_19900605;6;1990
1_1_LT05_172073_19900621;1_1_LT05_172073_19900621;6;1990
1_1_LT05_172073_19900723;1_1_LT05_172073_19900723;7;1990
1_1_LT05_172073_19900925;1_1_LT05_172073_19900925;9;1990
1_1_LT05_172073_19901011;1_1_LT05_172073_19901011;10;1990
1_1_LT05_172073_19901027;1_1_LT05_172073_19901027;10;1990
1_1_LT05_172073_19901128;1_1_LT05_172073_19901128;11;1990
1_1_LT05_172073_19901230;1_1_LT05_172073_19901230;12;1990
1_1_LT05_172073_19910304;1_1_LT05_172073_19910304;3;1991
1_1_LT05_172073_19910320;1_1_LT05_172073_19910320;3;1991
1_1_LT05_172073_19910405;1_1_LT05_172073_19910405;4;1991
1_1_LT05_172073_19910421;1_1_LT05_172073_19910421;4;1991
1_1_LT05_172073_19910624;1_1_LT05_172073_19910624;6;1991
1_1_LT05_172073_19910710;1_1_LT05_172073_19910710;7;1991
1_1_LT05_172073_19910726;1_1_LT05_172073_19910726;7;1991
1_1_LT05_172073_19910811;1_1_LT05_172073_19910811;8;1991
1_1_LT05_172073_19910827;1_1_LT05_172073_19910827;8;1991
1_1_LT05_172073_19910928;1_1_LT05_172073_19910928;9;1991
1_1_LT05_172073_19911030;1_1_LT05_172073_19911030;10;1991
1_1_LT05_172073_19911115;1_1_LT05_172073_19911115;11;1991
1_1_LT05_172073_19920407;1_1_LT05_172073_19920407;4;1992
1_1_LT05_172073_19920626;1_1_LT05_172073_19920626;6;1992
1_1_LT05_172073_19920829;1_1_LT05_172073_19920829;8;1992
1_1_LT05_172073_19920914;1_1_LT05_172073_19920914;9;1992
1_1_LT05_172073_19921203;1_1_LT05_172073_19921203;12;1992
1_1_LT05_172073_19930528;1_1_LT05_172073_19930528;5;1993
1_1_LT05_172073_19930613;1_1_LT05_172073_19930613;6;1993
1_1_LT05_172073_19930816;1_1_LT05_172073_19930816;8;1993
1_1_LT05_172073_19930901;1_1_LT05_172073_19930901;9;1993
1_1_LT05_172073_19930917;1_1_LT05_172073_19930917;9;1993
1_1_LT05_172073_19931206;1_1_LT05_172073_19931206;12;1993
1_1_LT05_172073_19940328;1_1_LT05_172073_19940328;3;1994
1_1_LT05_172073_19940413;1_1_LT05_172073_19940413;4;1994
1_1_LT05_172073_19940515;1_1_LT05_172073_19940515;5;1994
1_1_LT05_172073_19940803;1_1_LT05_172073_19940803;8;1994
1_1_LT05_172073_19941123;1_1_LT05_172073_19941123;11;1994
1_1_LT05_172073_19941209;1_1_LT05_172073_19941209;12;1994
1_1_LT05_172073_19950110;1_1_LT05_172073_19950110;1;1995
1_1_LT05_172073_19950126;1_1_LT05_172073_19950126;1;1995
1_1_LT05_172073_19950315;1_1_LT05_172073_19950315;3;1995
1_1_LT05_172073_19950331;1_1_LT05_172073_19950331;3;1995
1_1_LT05_172073_19950518;1_1_LT05_172073_19950518;5;1995
1_1_LT05_172073_19950603;1_1_LT05_172073_19950603;6;1995
1_1_LT05_172073_19950619;1_1_LT05_172073_19950619;6;1995
1_1_LT05_172073_19950822;1_1_LT05_172073_19950822;8;1995
