Date;ONI
01/01/1950;   -1.530
01/02/1950;   -0.680
01/03/1950;   -0.430
01/04/1950;   -0.150
01/05/1950;    0.160
01/06/1950;    0.480
01/07/1950;    0.770
01/08/1950;    1.070
01/09/1950;    1.320
01/10/1950;    1.560
01/11/1950;    1.780
01/12/1950;    1.920
01/01/1951;   -0.820
01/02/1951;    1.790
01/03/1951;    1.490
01/04/1951;    1.140
01/05/1951;    0.750
01/06/1951;    0.580
01/07/1951;    0.700
01/08/1951;    0.890
01/09/1951;    0.990
01/10/1951;    1.150
01/11/1951;    1.040
01/12/1951;    0.810
01/01/1952;    0.530
01/02/1952;    0.370
01/03/1952;    0.340
01/04/1952;    0.290
01/05/1952;    0.200
01/06/1952;    0.000
01/07/1952;   -0.080
01/08/1952;    0.000
01/09/1952;    0.150
01/10/1952;    0.100
01/11/1952;    0.040
01/12/1952;    0.150
01/01/1953;    0.400
01/02/1953;    0.600
01/03/1953;    0.630
01/04/1953;    0.660
01/05/1953;    0.750
01/06/1953;    0.770
01/07/1953;    0.750
01/08/1953;    0.730
01/09/1953;    0.780
01/10/1953;    0.840
01/11/1953;    0.840
01/12/1953;    0.810
01/01/1954;    0.760
01/02/1954;    0.470
01/03/1954;   -0.050
01/04/1954;   -0.410
01/05/1954;   -0.540
01/06/1954;   -0.500
01/07/1954;   -0.640
01/08/1954;   -0.840
01/09/1954;   -0.900
01/10/1954;   -0.770
01/11/1954;   -0.730
01/12/1954;   -0.660
01/01/1955;   -0.680
01/02/1955;   -0.620
01/03/1955;   -0.690
01/04/1955;   -0.800
01/05/1955;   -0.790
01/06/1955;   -0.720
01/07/1955;   -0.680
01/08/1955;   -0.750
01/09/1955;   -1.090
01/10/1955;   -1.420
01/11/1955;   -1.670
01/12/1955;   -1.470
01/01/1956;   -1.110
01/02/1956;   -0.760
01/03/1956;   -0.630
01/04/1956;   -0.540
01/05/1956;   -0.520
01/06/1956;   -0.510
01/07/1956;   -0.570
01/08/1956;   -0.550
01/09/1956;   -0.460
01/10/1956;   -0.420
01/11/1956;   -0.430
01/12/1956;   -0.430
01/01/1957;   -0.250
01/02/1957;    0.060
01/03/1957;    0.410
01/04/1957;    0.720
01/05/1957;    0.920
01/06/1957;    1.110
01/07/1957;    1.250
01/08/1957;    1.320
01/09/1957;    1.330
01/10/1957;    1.390
01/11/1957;    1.530
01/12/1957;    1.740
01/01/1958;    1.810
01/02/1958;    1.660
01/03/1958;    1.270
01/04/1958;    0.930
01/05/1958;    0.740
01/06/1958;    0.640
01/07/1958;    0.570
01/08/1958;    0.430
01/09/1958;    0.390
01/10/1958;    0.440
01/11/1958;    0.500
01/12/1958;    0.610
01/01/1959;    0.610
01/02/1959;    0.620
01/03/1959;    0.520
01/04/1959;    0.330
01/05/1959;    0.200
01/06/1959;   -0.070
01/07/1959;   -0.180
01/08/1959;   -0.280
01/09/1959;   -0.090
01/10/1959;   -0.030
01/11/1959;    0.050
01/12/1959;   -0.040
01/01/1960;   -0.100
01/02/1960;   -0.100
01/03/1960;   -0.070
01/04/1960;    0.030
01/05/1960;    0.020
01/06/1960;    0.030
01/07/1960;    0.130
01/08/1960;    0.240
01/09/1960;    0.270
01/10/1960;    0.200
01/11/1960;    0.120
01/12/1960;    0.050
01/01/1961;    0.040
01/02/1961;    0.030
01/03/1961;    0.040
01/04/1961;    0.090
01/05/1961;    0.230
01/06/1961;    0.270
01/07/1961;    0.140
01/08/1961;   -0.130
01/09/1961;   -0.300
01/10/1961;   -0.260
01/11/1961;   -0.190
01/12/1961;   -0.160
01/01/1962;   -0.240
01/02/1962;   -0.220
01/03/1962;   -0.200
01/04/1962;   -0.260
01/05/1962;   -0.280
01/06/1962;   -0.200
01/07/1962;   -0.040
01/08/1962;   -0.070
01/09/1962;   -0.110
01/10/1962;   -0.220
01/11/1962;   -0.310
01/12/1962;   -0.430
01/01/1963;   -0.400
01/02/1963;   -0.150
01/03/1963;    0.150
01/04/1963;    0.270
01/05/1963;    0.310
01/06/1963;    0.520
01/07/1963;    0.860
01/08/1963;    1.140
01/09/1963;    1.220
01/10/1963;    1.290
01/11/1963;    1.370
01/12/1963;    1.310
01/01/1964;    1.070
01/02/1964;    0.620
01/03/1964;    0.120
01/04/1964;   -0.330
01/05/1964;   -0.580
01/06/1964;   -0.580
01/07/1964;   -0.600
01/08/1964;   -0.660
01/09/1964;   -0.760
01/10/1964;   -0.800
01/11/1964;   -0.820
01/12/1964;   -0.780
01/01/1965;   -0.590
01/02/1965;   -0.280
01/03/1965;   -0.070
01/04/1965;    0.180
01/05/1965;    0.460
01/06/1965;    0.830
01/07/1965;    1.220
01/08/1965;    1.540
01/09/1965;    1.850
