PTS;ID;Waterhole;;SiteNb;Long;Lat;Type;Pump
PTS1;0;BACK PAN;;1.000;27.35908652;-19.04870448;pan;Y
PTS2;1;BALLA BALLA;;2.000;26.585758;-19.50499537;pan;N
PTS3;2;BAOBAB PAN;;3.000;26.6412203;-18.83802087;pan;Y
PTS4;3;BASHA;;4.000;27.14496049;-18.98849769;pan;Y
PTS5;4;BEAVER;;5.000;26.31576389;-18.98595155;pan;Y
PTS6;5;BEMBESI;;6.000;26.3109436;-18.99655975;pan;N
PTS7;6;BIG TOMS;;7.000;27.21964151;-19.10402408;riverpool;Y
PTS8;7;BROKEN RIFLE;;8.000;26.700727;-18.73671901;pan;Y
PTS9;8;BULUNGETI;;9.000;26.58961512;-18.89997562;pan;N
PTS10;9;BUMBOOSIE HIDE;;10.000;26.74081432;-18.83037351;spring;N
PTS11;10;BUMBOOSIE SOUTH;;11.000;26.69979505;-18.90845237;pan;Y
PTS12;11;BUMBUMTSA;;12.000;26.66955343;-18.91094947;pan;Y
PTS13;12;CEMENT;;14.000;26.75418717;-19.3848003;pan;N
PTS14;13;CHINGAHOBE DAM;;15.000;26.26179985;-18.72513873;pan;N
PTS15;14;CHIVISA;;16.000;27.13589959;-18.87532571;pan;N
PTS16;15;CREAM OF TARTAR;;17.000;27.08713932;-18.96859673;pan;N
PTS17;16;CROC POOLS HIDE;;18.000;26.81224466;-19.4700271;riverpool;N
PTS18;17;DADADA;;19.000;26.22001361;-19.29686683;pan;N
PTS19;18;DANDARI 1;;20.000;26.78116919;-19.45383164;pan;N
PTS20;19;DEKA 141;;22.000;27.17603596;-19.15002417;riverpool;N
PTS21;20;DEKA CAMP SPRING;;23.000;27.25004812;-19.0678251;spring;N
PTS22;21;DETEEMA DAM;;24.000;27.16826375;-19.03548324;pan;Y
PTS23;22;DETEEMA PICNIC SITE;;25.000;26.9239719;-18.70295916;spring;N
PTS24;23;DILILO SEEP;;26.000;26.25468758;-18.97832203;spring;N
PTS25;24;DINA;;27.000;27.34196803;-19.06659439;pan;N
PTS26;25;DOLPH;;28.000;27.32315508;-19.08490346;pan;N
PTS27;26;DOM;;29.000;27.31514654;-19.09120417;pan;Y
PTS28;27;DOMBASHURA SPRING;;30.000;26.92089066;-19.3284551;spring;N
PTS29;28;DOTOMA;;32.000;26.85626937;-18.96048116;pan;N
PTS30;29;DWARF GOOSE;;33.000;26.94043044;-19.04276049;pan;N
PTS31;30;DYNAMITE;;34.000;27.04838973;-19.06104727;pan;Y
PTS32;31;GARAKAMWE;;35.000;26.48437588;-19.41847543;pan;N
PTS33;32;GIRAFFE SPRING;;36.000;27.25245158;-18.94679172;pan;Y
PTS34;33;GOMO DAM;;37.000;26.420963;-18.86324155;riverpool;N
PTS35;34;GUVALALA;;38.000;26.34959955;-19.14269787;pan;Y
PTS36;35;HENDRICKS;;39.000;26.54765052;-19.47225219;pan;N
PTS37;36;HWA HWA DU PANS;;40.000;26.61488039;-19.48542883;pan;N
PTS38;37;INYANTUE DAM;;41.000;27.42790828;-19.08324913;pan;Y
PTS39;38;INYONI;;42.000;27.44408144;-19.11308052;pan;N
PTS40;39;JAMBEZI;;43.000;26.804303;-18.83081496;pan;N
PTS41;40;JOLLY'S;;45.000;26.64361484;-18.89080325;pan;N
PTS42;41;JOSIVANINI;;46.000;27.31162831;-19.01567591;pan;Y
PTS43;42;KABABWE;;47.000;27.19664593;-19.04002707;pan;N
PTS44;43;KAPANI;;49.000;26.16865815;-19.32626122;pan;N
PTS45;44;KAPULA;;50.000;26.62830228;-18.89772377;spring;N
PTS46;45;KASHAWE VIEWING;;51.000;26.31028811;-18.84157923;spring;N
PTS47;46;KENNEDY 1;;52.000;26.89830085;-18.66802656;pan;Y
PTS48;47;KENNEDY 2;;53.000;26.80377237;-19.05796603;pan;Y
PTS49;48;KUKAMA;;54.000;27.06577577;-18.85200015;pan;N
PTS50;49;LEASHA DAM;;55.000;26.09238076;-19.32802257;pan;N
PTS51;50;LEMEMBA;;56.000;26.2143238;-19.25654764;pan;N
PTS52;51;LIBUTI;;57.000;26.54537638;-19.11327226;pan;N
PTS53;52;LIMPANDI 1;;58.000;26.81455002;-19.10708749;riverpool;N
PTS54;53;LINKWASHA PAN;;59.000;26.93378192;-19.07986913;pan;Y
PTS55;54;LITTLE MAKOLOLO;;60.000;26.47835163;-18.61585954;pan;Y
PTS56;55;LITTLE SAMAVUNDHLA;;61.000;26.98824092;-18.9254683;pan;Y
PTS57;56;LITTLE TOMS;;62.000;26.81784529;-18.9614042;pan;Y
PTS58;57;LITTLE ZIVANINI;;63.000;27.36383546;-19.13370832;riverpool;N
PTS59;58;LIVINGI;;64.000;26.64621003;-18.86712096;pan;Y
PTS60;59;MABUYA MABENA;;65.000;26.45083898;-19.31281703;pan;Y
PTS61;60;MADUNDUMELA;;66.000;26.92032881;-18.72808619;pan;Y
PTS62;61;MAHOBOTI;;68.000;26.37822252;-18.59997622;pan;N
PTS63;62;MAHOMONA SEEP 1;;69.000;26.93202949;-19.18308395;spring;N
PTS64;63;MAKOLOLO 1;;70.000;26.21739166;-18.8354123;pan;Y
PTS65;64;MAKOLOLO 2;;71.000;26.7753233;-18.68637576;pan;Y
PTS66;65;MAKOLOLO 3;;72.000;26.89913916;-18.7520717;pan;Y
PTS67;66;MAKONA;;73.000;26.26511742;-18.57770747;pan;Y
PTS68;67;MAKUMAMALO;;74.000;26.35836168;-18.82952182;pan;N
PTS69;68;MAKWA;;75.000;26.97257164;-18.75688753;pan;Y
PTS70;69;MANDAVU;;76.000;27.39872347;-19.17002324;pan;Y
PTS71;70;MANDISEKA;;77.000;26.64198726;-18.64615913;pan;Y
PTS72;71;MANGA 1;;78.000;26.34366894;-18.58881509;pan;Y
PTS73;72;MANGA 3;;80.000;26.66982097;-18.77950855;pan;Y
