Waterhole;Type;Pump;ID;long;Lat;XUTM_WG84;YUTM_WGS84;PTS;Frequency
BACK PAN;pan;Y;247;27.35908515;-19.04870468;537783;7893745;PTS248;0.5627376425855514
BALLA BALL;pan;N;107;26.92035342;-18.72804763;491604;7929261;PTS108;0.5306859205776173
BAMBUSI SP;;N;90;26.18239856;-18.50730099;413695;7953492;PTS91;0.0
BAOBAB PAN;pan;Y;248;26.37821886;-18.59997656;434402;7943320;PTS249;0.18352059925093633
BASHA;pan;N;108;26.58575898;-19.50499348;456534;7843242;PTS109;0.6785714285714286
BEAVER;pan;N;109;26.93203047;-19.18308641;492854;7878913;PTS110;0.3655913978494624
BEMBESI;pan;N;110;26.64121956;-18.83801876;462202;7917057;PTS111;0.0711743772241993
BIG TOMS;riverpool;N;200;25.9888294;-18.69576045;393378;7932534;PTS201;
BLOOP 1;;N;17;26.91770244;-18.73779521;491325;7928183;PTS18;0.01079136690647482
BLOOP 2;;N;18;26.90577884;-18.73890219;490068;7928059;PTS19;0.10507246376811594
BLOOP 3;;N;19;26.89556376;-18.74113543;488991;7927812;PTS20;0.021739130434782608
BODO PAN;;N;36;27.11745295;-19.02577383;512360;7896317;PTS37;0.13043478260869565
BOSS LONGO;;N;6;26.81978888;-18.78762731;481009;7922661;PTS7;0.23826714801444043
BROKEN RIF;pan;Y;231;27.14495831;-18.98849678;515258;7900439;PTS232;0.057971014492753624
BULUNGETI;pan;N;111;26.60491401;-19.63479727;458577;7828883;PTS112;0.5636363636363636
BUMBOOSIE1;pan;N;112;26.19760658;-18.64181216;415367;7938615;PTS113;0.0
BUMBOOSIE2;spring;N;182;26.17825116;-18.51027072;413259;7953161;PTS183;0.0
BUMBUMTSA;pan;N;113;26.21739314;-18.83541099;417548;7917202;PTS114;0.5911949685534591
CAMP HWANG;;Y;228;26.32815237;-18.82225506;429212;7918705;PTS229;0.45387453874538747
CATERPILLA;;N;32;26.96579628;-18.79981506;496396;7921322;PTS33;0.4175824175824176
CATERPILLA;;Y;214;26.96770409;-18.7998154;496597;7921322;PTS215;0.0
CEMENT;pan;N;114;26.04471033;-19.23107094;399592;7873329;PTS115;0.0
CHAWATO;;N;91;26.27416559;-18.52335877;423390;7951756;PTS92;0.30927835051546393
CHENA PAN;;N;40;26.98800132;-18.87948011;498736;7912508;PTS41;0.11827956989247312
CHINGAHOBE;pan;N;115;26.12220775;-18.59991313;407391;7943214;PTS116;1.0
CHIVISA;pan;N;93;26.77532583;-18.68637336;476309;7933859;PTS94;0.2915129151291513
CHIVISA OL;;N;15;26.81617043;-18.68403111;480616;7934123;PTS16;0.6992481203007519
CHIVISA SM;;N;49;26.78982677;-18.68099315;477837;7934456;PTS50;0.058823529411764705
CHIVISA WE;;N;9;26.77532583;-18.68637336;476309;7933859;PTS10;0.2915129151291513
CHRIS PAN;;Y;222;27.06070981;-19.00540261;506390;7898574;PTS223;0.0036231884057971015
CREAM OF T;pan;N;116;25.81987584;-18.81465816;375648;7919267;PTS117;
CROC POOLS;riverpool;N;201;26.04048372;-18.6183462;398779;7941130;PTS202;
CROCOPOOLS;;N;85;26.03977106;-18.61957618;398705;7940993;PTS86;
DADADA;pan;N;117;26.31576622;-18.98595213;427977;7900587;PTS118;0.35125448028673834
DANDARI 1;pan;N;118;26.04850255;-18.84184733;399757;7916403;PTS119;
DANGA;;Y;213;26.48893171;-18.87519405;446170;7912904;PTS214;0.6428571428571429
DEKA 141;riverpool;N;202;25.92145595;-18.63996884;386236;7938666;PTS203;
DEKA C SPR;;N;78;25.81266274;-18.67414372;374785;7934812;PTS79;
DEKA CAMP;spring;N;183;25.81370123;-18.67166977;374892;7935086;PTS184;
DEKA RIVER;;N;77;25.84345272;-18.65665819;378019;7936768;PTS78;
DETEEMA DA;pan;Y;232;26.14798961;-18.67350683;410150;7935084;PTS233;1.0
DETEEMA PI;spring;N;179;26.15185624;-18.67964764;410561;7934406;PTS180;0.0
DILILO SEE;spring;N;180;26.0901368;-18.64223793;404031;7938514;PTS181;0.0
DINA;pan;N;119;26.31094568;-18.99656139;427474;7899411;PTS120;0.33093525179856115
DOLILO;;N;5;26.08414066;-18.64504838;403400;7938199;PTS6;
DOLILOPOOL;;N;84;26.09213957;-18.59649142;404216;7943577;PTS85;0.0
DOLILOSALT;;N;86;26.07931061;-18.66196793;402900;7936325;PTS87;
DOLPH;pan;N;94;27.21964043;-19.10402162;523103;7887648;PTS95;0.5217391304347826
DOM;pan;Y;233;26.89914082;-18.75207047;489369;7926602;PTS234;0.7445255474452555
DOM NAT;;N;47;26.90093594;-18.75058647;489558;7926766;PTS48;0.5848375451263538
DOMBASHURA;spring;N;184;26.26511552;-18.57770419;422459;7945739;PTS185;0.02857142857142857
DOPI;;Y;212;26.92884774;-18.85162085;492505;7915589;PTS213;0.01107011070110701
DOPI NAT;;N;31;26.92789556;-18.85241454;492405;7915501;PTS32;0.003663003663003663
DOPI OLD;;N;30;26.9277794;-18.84858325;492392;7915925;PTS31;0.5323741007194245
DOPI RED;;N;70;26.92512792;-18.85610563;492113;7915092;PTS71;0.02888086642599278
DOTOMA;pan;N;120;26.4324762;-19.74448596;440538;7816694;PTS121;0.48727272727272725
DWARF GOOS;pan;N;121;26.35836013;-18.82952563;432398;7917913;PTS122;0.5656934306569343
DYNAMITE;pan;Y;234;26.97257243;-18.756887;497109;7926072;PTS235;0.036231884057971016
ENTRANCE R;;N;74;25.92967689;-18.59629793;387074;7943504;PTS75;
GARAKAMWE;pan;N;122;26.70296269;-18.74033221;468689;7927878;PTS123;0.6605839416058394
GIRAFFE SP;pan;N;175;26.57962647;-18.89773509;455728;7910435;PTS176;0.06690140845070422
GIRAFFE SP;pan;Y;235;26.58961317;-18.89997355;456781;7910190;PTS236;0.05172413793103448
GOMO DAM;riverpool;N;203;26.61377532;-19.69277259;459521;7822470;PTS204;0.011029411764705883
GUVALALA;pan;Y;249;26.74081211;-18.83037787;472693;7917921;PTS250;0.7777777777777778
GUVALALA H;;N;20;26.74550013;-18.83029461;473187;7917931;PTS21;0.14930555555555555
GUVALALA N;;N;21;26.74216578;-18.82940624;472835;7918028;PTS22;0.06315789473684211
HENDRICKS;pan;N;123;25.9960199;-19.03178157;394347;7895354;PTS124;
HIDDEN KAO;;N;24;26.72881124;-18.73667028;471413;7928287;PTS25;0.30685920577617326
HOBO PAN;;N;35;27.11786414;-19.02692202;512403;7896189;PTS36;0.17204301075268819
HWA HWA DU;pan;N;124;27.39872482;-19.17001982;541923;7880312;PTS125;0.15328467153284672
INYANTUE D;pan;N;125;26.64198691;-18.64615787;462240;7938286;PTS126;0.5912408759124088
INYONI;pan;N;126;26.69979189;-18.90845221;468386;7909275;PTS127;0.4311594202898551
JAMBEZI;pan;N;127;26.66955381;-18.9109535;465202;7908993;PTS128;0.2791519434628975
JAMBILE EA;;N;28;26.89115519;-18.92546821;488539;7907416;PTS29;0.2116788321167883
JAMBILE LA;;N;4;26.88701632;-18.9252504;488103;7907440;PTS5;0.5854545454545454
JAMBILE WE;;N;29;26.88468647;-18.92680119;487858;7907268;PTS30;0.2939068100358423
JAPAN;pan;N;176;26.89582651;-18.9261169;489031;7907344;PTS177;0.08602150537634409
JOLLY'S;;N;10;25.86657782;-18.85898242;380601;7914394;PTS11;
JOLLY'S;pan;N;95;25.86657782;-18.85898242;380601;7914394;PTS96;
JOSIVANINI;pan;Y;250;26.75418528;-19.38479986;474188;7856576;PTS251;0.39649122807017545
JUPANDA;;N;11;26.45776543;-19.06970058;442953;7891372;PTS12;0.11469534050179211
KABABWE;pan;N;128;26.35870371;-19.61356649;432754;7831154;PTS129;0.36666666666666664
KAOSHE;;N;12;26.73251771;-18.73030512;471802;7928992;PTS13;0.7862318840579711
KAPANI;pan;N;129;26.14648606;-18.85738544;410089;7914736;PTS130;0.0
KAPULA;spring;N;185;26.26179705;-18.72513838;422176;7929424;PTS186;0.00398406374501992
KASHAWE VI;spring;N;186;26.34366659;-18.5888145;430752;7944542;PTS187;0.037037037037037035
KENNEDY 1;pan;Y;251;27.13589709;-18.87532597;514314;7912962;PTS252;0.20577617328519857
KENNEDY 2;pan;Y;246;27.08705544;-18.968758;509164;7902627;PTS247;0.18050541516245489
KENNEDY MI;;N;58;27.1213082;-18.91703091;512774;7908349;PTS59;0.01444043321299639
KUKAMA;pan;N;130;26.81224609;-19.4700257;480295;7847153;PTS131;0.19230769230769232
LEASHA DAM;pan;N;96;26.65534625;-19.59867357;463857;7832892;PTS97;0.7806691449814126
LEMEMBA;pan;N;131;26.22001033;-19.29686815;418051;7866140;PTS132;0.4666666666666667
LIBUTI;pan;N;132;26.78116553;-19.45383256;477031;7848941;PTS133;0.010526315789473684
LIMPANDI 1;riverpool;N;204;26.59552141;-19.74023628;457620;7817213;PTS205;0.26811594202898553
LINKWASHA;pan;Y;252;27.17603685;-19.15002847;518511;7882563;PTS253;0.28205128205128205
LITTLE DEK;;N;79;25.80518289;-18.63602736;373967;7939024;PTS80;
LITTLE MAK;pan;Y;253;27.25004827;-19.06782492;526307;7891649;PTS254;0.15018315018315018
LITTLE MTO;;Y;223;26.69268988;-18.70007841;467598;7932330;PTS224;0.4855072463768116
LITTLE NGW;;N;50;27.07288266;-19.01581957;507670;7897420;PTS51;0.0036363636363636364
LITTLE SAM;pan;Y;254;27.16826444;-19.03548293;517706;7895238;PTS255;0.746938775510204
LITTLE TOM;pan;Y;255;25.95760743;-18.6779651;390074;7934484;PTS256;
LITTLE ZIV;riverpool;N;205;26.56253884;-19.76983615;454173;7813929;PTS206;0.6654545454545454
LITTLEDEKA;;N;76;25.8394643;-18.64179522;377588;7938410;PTS77;
LIVINGI;;Y;211;26.92400447;-18.70284061;491987;7932051;PTS212;0.5683453237410072
LIVINGI;pan;Y;236;26.92397146;-18.70296172;491984;7932037;PTS237;0.7127272727272728
LONGONE;;N;7;26.79295671;-18.79343162;478182;7922016;PTS8;0.296028880866426
MABUYA MAB;pan;Y;237;26.66982032;-18.77950873;465203;7923537;PTS238;0.325
MADISON -;;Y;215;27.21964043;-19.10402162;523103;7887648;PTS216;0.5217391304347826
MADUNDUMEL;pan;Y;256;27.07517641;-19.1965822;507903;7877419;PTS257;0.0
MAGEGWANI;pan;N;178;26.75890694;-18.92725018;474614;7907205;PTS179;0.01060070671378092
MAHOBOTI;pan;N;133;26.25468645;-18.97832357;421544;7901405;PTS134;0.03636363636363636
MAHOHOMAS;;N;82;25.89011969;-18.67647919;382955;7934606;PTS83;
MAHOMAS2;;N;80;25.90395501;-18.673111;384412;7934988;PTS81;
MAHOMAS2;;N;81;25.90421163;-18.6734579;384439;7934949;PTS82;
MAHOMONA S;spring;N;187;25.91022002;-18.67152366;385072;7935167;PTS188;
MAKOLOLO 1;;Y;216;27.34196878;-19.06659177;535978;7891769;PTS217;0.9811320754716981
MAKOLOLO 2;pan;Y;238;27.32315559;-19.08490197;533995;7889747;PTS239;0.4253731343283582
MAKOLOLO 3;pan;Y;239;27.31514591;-19.09120532;533151;7889051;PTS240;0.4618181818181818
MAKOLOLO T;;Y;217;27.32315559;-19.08490197;533995;7889747;PTS218;0.4253731343283582
MAKONA;pan;Y;257;26.92088903;-19.32845664;491690;7862827;PTS258;0.010752688172043012
MAKUMAMALO;pan;N;134;26.86928437;-19.43067579;486278;7851513;PTS135;0.06293706293706294
MAKWA;pan;Y;240;27.047712;-18.7912523;505028;7922269;PTS241;0.8333333333333334
MAKWA NAT;;N;33;27.04518237;-18.7907415;504761;7922326;PTS34;0.1875
MANDAVU;pan;N;135;26.26926391;-18.64729916;422928;7938040;PTS136;0.7339901477832512
MANDISEKA;pan;Y;258;27.23751168;-19.24554793;524961;7871986;PTS259;0.213768115942029
MANGA 1;pan;Y;241;26.85627355;-18.9604816;484869;7903539;PTS242;0.21691176470588236
MANGA 2;pan;N;106;26.88979561;-18.99298896;488401;7899945;PTS107;0.0036101083032490976
MANGA 3;pan;Y;245;26.94097993;-19.04348614;493790;7894360;PTS246;0.0
MANGA 4;pan;Y;242;26.94043296;-19.04276369;493732;7894440;PTS243;0.18439716312056736
MANGASIHOL;pan;N;136;27.0061733;-19.23922857;500649;7872702;PTS137;0.0425531914893617
MANZIBOM S;;N;89;26.04947433;-18.80223851;399836;7920786;PTS90;0.0
MANZICHISA;spring;N;181;26.07650178;-18.6705042;402609;7935378;PTS182;
MANZIMBOMV;pan;Y;259;26.05000846;-18.77334383;399875;7923984;PTS260;
MARZI PAN;;N;37;27.10454943;-19.02914619;511002;7895944;PTS38;0.007220216606498195
MASUMA;;Y;210;26.27989401;-18.73108103;424086;7928774;PTS211;0.8856088560885609
MASUMAMALI;pan;Y;243;27.04838782;-19.061048;505091;7892417;PTS244;0.0
MATAMBONYA;pan;N;137;26.48437236;-19.41847551;445867;7852787;PTS138;0.27075812274368233
MBAZU;pan;N;138;27.14212026;-19.24911457;514936;7871602;PTS139;0.3381294964028777
MBAZU;pan;Y;271;27.06619811;-19.25025687;506956;7871480;PTS272;0.06115107913669065
MBEJANE;pan;N;139;26.1423536;-18.73652167;409589;7928108;PTS140;1.0
MBEJANE E;;N;88;26.16746004;-18.72962351;412232;7928884;PTS89;0.0
MBEJANEW;;N;87;26.13707077;-18.73743495;409032;7928005;PTS88;0.0
MBIZA;pan;Y;260;27.25245113;-18.94679028;526579;7905041;PTS261;0.6292134831460674
MFAGAZANA;pan;N;140;27.32446154;-19.19306722;534110;7877778;PTS141;0.532608695652174
MOPANE;pan;N;141;26.42096554;-18.86324147;439006;7914205;PTS142;0.22826086956521738
MPISI;pan;Y;261;26.95918274;-19.30058864;495712;7865912;PTS262;0.08362369337979095
Mtoa Dam;;N;73;26.66731017;-18.69035825;464920;7933401;PTS74;0.38405797101449274
MTOA PAN;pan;N;142;26.68342922;-18.69267862;466620;7933147;PTS143;0.7090909090909091
MTSWIRI;pan;N;143;26.34960274;-19.14269518;431603;7883256;PTS144;0.3710247349823322
MVULASANG;pan;N;144;26.54765034;-19.47225443;452526;7846855;PTS145;0.4645390070921986
NANTWICH;pan;N;145;25.90110132;-18.59577905;384059;7943543;PTS146;
NANTWICH R;;N;75;25.91757685;-18.61497013;385810;7941430;PTS76;
NEHIMBA GR;;N;67;26.45617501;-18.89401892;442726;7910811;PTS68;0.4070175438596491
NEHIMBA GR;;Y;227;26.46730634;-18.88838525;443896;7911438;PTS228;0.33451957295373663
NEHIMBA MA;;Y;226;26.48366208;-18.87550249;445614;7912868;PTS227;0.5103448275862069
NEHIMBA SE;spring;N;188;26.42938516;-18.90254284;439907;7909859;PTS189;0.13829787234042554
NEMTUNGA;pan;N;146;26.40751342;-19.70098424;437906;7821499;PTS147;0.6179775280898876
NEUAHARI;pan;N;147;26.61487961;-19.48543221;459585;7845414;PTS148;0.3238434163701068
NGAMO PAN1;pan;Y;262;27.42790829;-19.08325301;545015;7889906;PTS263;0.9368029739776952
NGAMO PAN2;pan;N;97;27.44407792;-19.11308266;546708;7886601;PTS98;0.011235955056179775
NGAMO PAN3;;Y;219;27.44830886;-19.09821474;547157;7888245;PTS220;0.6716417910447762
NGWASHA;pan;N;148;26.17034234;-19.54581958;412965;7838566;PTS149;0.03383458646616541
NGWENYA 1;;N;3;26.8646783;-18.73996716;485735;7927939;PTS4;0.27402135231316727
NGWENYA 2;;N;16;26.85681876;-18.74027984;484907;7927904;PTS17;0.30434782608695654
NGWENYA 3;;N;45;26.85061695;-18.74037369;484253;7927893;PTS46;0.07526881720430108
NGWESHLA L;;N;38;27.10342578;-19.02754527;510884;7896122;PTS39;0.4767025089605735
NGWESHLA S;;Y;209;27.10660024;-19.02740888;511218;7896137;PTS210;0.5036764705882353
NHORE;pan;N;98;26.80430334;-18.83081423;479382;7917881;PTS99;0.3695652173913043
NJEKWA;pan;N;149;26.16280957;-18.99333971;411880;7899700;PTS150;0.056179775280898875
NKAI;pan;N;150;26.64342145;-18.89078928;462445;7911219;PTS151;0.5034722222222222
NOBUHLE PA;;N;46;26.77121081;-18.725417;475880;7929539;PTS47;0.0364963503649635
NSIMBI;;N;27;26.81360392;-18.88191733;480368;7912228;PTS28;0.04659498207885305
NYAMANDHLO;pan;Y;263;26.88878851;-18.77551437;488279;7924007;PTS264;0.9202898550724637
NYOKA;;N;23;26.70597997;-18.83871091;469025;7916993;PTS24;0.18620689655172415
OSTRICH;pan;Y;264;27.31163093;-19.01567448;532796;7897409;PTS265;0.4197080291970803
PAN AM;;N;43;26.78958705;-18.82888707;477831;7918092;PTS44;0.031914893617021274
PAN ARIZ;;N;56;26.86987691;-18.78309741;486287;7923167;PTS57;0.007434944237918215
PAN ASSEZ;;N;48;26.90143726;-18.67373186;489606;7935270;PTS49;0.11029411764705882
PAN DECAFE;;N;41;26.98058805;-18.87890076;497956;7912571;PTS42;0.15162454873646208
PAN DEPICE;;N;22;26.69775634;-18.8396892;468158;7916883;PTS23;0.12857142857142856
PAN DINSPI;;N;57;26.8531397;-18.95852765;484539;7903755;PTS58;0.0
PAN DULCE;;N;34;27.11655711;-19.02632171;512266;7896256;PTS35;0.046762589928057555
PAN GOLIN1;;N;39;27.00083918;-18.88033288;500088;7912413;PTS40;0.1444043321299639
PAN GOLIN2;;N;51;26.99816226;-18.88005473;499806;7912444;PTS52;0.11313868613138686
PAN TALON;;N;60;26.51923242;-18.92188533;449375;7907747;PTS61;0.41114982578397213
